FacilityID,FlowName,Compartment,FlowAmount,Unit,DataReliability,Process,ProcessType
1000001,Carbon Dioxide,air,636613000,kg,5,D,Subpart
1000001,Methane,air,11800,kg,5,D,Subpart
1000001,Nitrous Oxide,air,1180,kg,5,D,Subpart
1000002,Carbon Dioxide,air,80802500,kg,5,C,Subpart
1000002,Carbon Dioxide,air,35944800,kg,5,N,Subpart
1000002,Methane,air,1520,kg,5,C,Subpart
1000002,Nitrous Oxide,air,152,kg,5,C,Subpart
1000003,Carbon Dioxide,air,54254600,kg,4.999988941,C,Subpart
1000003,Carbon Dioxide,air,25683000,kg,5,N,Subpart
1000003,Methane,air,1020,kg,5,C,Subpart
1000003,Nitrous Oxide,air,102,kg,5,C,Subpart
1000005,Carbon Dioxide,air,58115400,kg,5,C,Subpart
1000005,Carbon Dioxide,air,19885600,kg,5,N,Subpart
1000005,Methane,air,1090,kg,5,C,Subpart
1000005,Nitrous Oxide,air,109,kg,5,C,Subpart
1000007,Carbon Dioxide,air,15243700,kg,2,C,Subpart
1000007,Methane,air,290,kg,2,C,Subpart
1000007,Nitrous Oxide,air,29,kg,2,C,Subpart
1000010,Methane,air,6537870,kg,5,HH,Subpart
1000011,Carbon Dioxide,air,142400,kg,5,W,Subpart
1000011,Methane,air,683760,kg,5,W,Subpart
1000015,Carbon Dioxide,air,25314200,kg,2,C,Subpart
1000015,Methane,air,480,kg,2,C,Subpart
1000015,Nitrous Oxide,air,49,kg,2,C,Subpart
1000016,Carbon Dioxide,air,38111400,kg,2,C,Subpart
1000016,Methane,air,720,kg,2,C,Subpart
1000016,Nitrous Oxide,air,72,kg,2,C,Subpart
1000017,Carbon Dioxide,air,139614200,kg,2,C,Subpart
1000017,Methane,air,2630,kg,2,C,Subpart
1000017,Nitrous Oxide,air,263,kg,2,C,Subpart
1000019,Carbon Dioxide,air,246713500,kg,2,C,Subpart
1000019,Carbon Dioxide,air,13437000,kg,5,S,Subpart
1000019,Methane,air,24740,kg,2,C,Subpart
1000019,Nitrous Oxide,air,3569,kg,2,C,Subpart
1000020,Carbon Dioxide,air,49347300,kg,5,C,Subpart
1000020,Carbon Dioxide,air,16043900,kg,5,N,Subpart
1000020,Methane,air,930,kg,5,C,Subpart
1000020,Nitrous Oxide,air,93,kg,5,C,Subpart
1000021,Carbon Dioxide,air,30435700,kg,2,C,Subpart
1000021,Carbon Dioxide,air,12355400,kg,5,N,Subpart
1000021,Methane,air,570,kg,2,C,Subpart
1000021,Nitrous Oxide,air,57,kg,2,C,Subpart
1000022,Carbon Dioxide,air,35713800,kg,2,C,Subpart
1000022,Methane,air,670,kg,2,C,Subpart
1000022,Nitrous Oxide,air,67,kg,2,C,Subpart
1000023,Carbon Dioxide,air,70204700,kg,5,C,Subpart
1000023,Carbon Dioxide,air,26093400,kg,5,N,Subpart
1000023,Methane,air,1320,kg,5,C,Subpart
1000023,Nitrous Oxide,air,132,kg,5,C,Subpart
1000024,Carbon Dioxide,air,43276400,kg,5,C,Subpart
1000024,Carbon Dioxide,air,14559400,kg,5,N,Subpart
1000024,Methane,air,820,kg,5,C,Subpart
1000024,Nitrous Oxide,air,82,kg,5,C,Subpart
1000025,Carbon Dioxide,air,397563500,kg,2,C,Subpart
1000025,Carbon Dioxide,air,229400800,kg,5,Y,Subpart
1000025,Methane,air,38680,kg,2,C,Subpart
1000025,Methane,air,39770,kg,5,Y,Subpart
1000025,Nitrous Oxide,air,7650,kg,2,C,Subpart
1000025,Nitrous Oxide,air,3487,kg,5,Y,Subpart
1000026,Carbon Dioxide,air,61944500,kg,5,C,Subpart
1000026,Carbon Dioxide,air,30747700,kg,5,N,Subpart
1000026,Methane,air,1170,kg,5,C,Subpart
1000026,Nitrous Oxide,air,117,kg,5,C,Subpart
1000027,Carbon Dioxide,air,18018300,kg,2,C,Subpart
1000027,Methane,air,330,kg,2,C,Subpart
1000027,Nitrous Oxide,air,33,kg,2,C,Subpart
1000028,Carbon Dioxide,air,54218500,kg,5,C,Subpart
1000028,Carbon Dioxide,air,28120600,kg,5,N,Subpart
1000028,Methane,air,1020,kg,5,C,Subpart
1000028,Nitrous Oxide,air,102,kg,5,C,Subpart
1000029,Carbon Dioxide,air,45353700,kg,5,C,Subpart
1000029,Carbon Dioxide,air,52111800,kg,5,Q,Subpart
1000029,Methane,air,850,kg,5,C,Subpart
1000029,Nitrous Oxide,air,85,kg,5,C,Subpart
1000030,Carbon Dioxide,air,254675300,kg,2,C,Subpart
1000030,Carbon Dioxide,air,372000,kg,5,T,Subpart
1000030,HFC-134a,air,26762,kg,5,T,Subpart
1000030,Methane,air,4840,kg,2,C,Subpart
1000030,Nitrous Oxide,air,492,kg,2,C,Subpart
1000031,Biogenic CO2,air,11363700,kg,5,C,Subpart
1000031,Carbon Dioxide,air,300,kg,-113635,C,Subpart
1000031,Methane,air,700,kg,2,C,Subpart
1000031,Methane,air,4171810,kg,5,HH,Subpart
1000031,Nitrous Oxide,air,137,kg,2,C,Subpart
1000032,Carbon Dioxide,air,209071100,kg,2,C,Subpart
1000032,Methane,air,4110,kg,2,C,Subpart
1000032,Nitrous Oxide,air,442,kg,2,C,Subpart
1000034,Carbon Dioxide,air,146472600,kg,2.46511566,C,Subpart
1000034,Methane,air,14440,kg,2.08933518,C,Subpart
1000034,Nitrous Oxide,air,2081,kg,2.061989428,C,Subpart
1000035,Carbon Dioxide,air,183647000,kg,2,C,Subpart
1000035,Methane,air,3460,kg,2,C,Subpart
1000035,Nitrous Oxide,air,346,kg,2,C,Subpart
1000036,Carbon Dioxide,air,169467400,kg,2,C,Subpart
1000036,Methane,air,3220,kg,2,C,Subpart
1000036,Nitrous Oxide,air,326,kg,2,C,Subpart
1000037,Biogenic CO2,air,7494800,kg,5,C,Subpart
1000037,Carbon Dioxide,air,34243900,kg,1.343404227,C,Subpart
1000037,Methane,air,1110,kg,2,C,Subpart
1000037,Methane,air,119050,kg,5,II,Subpart
1000037,Nitrous Oxide,air,156,kg,2,C,Subpart
1000038,Carbon Dioxide,air,21619600,kg,2,C,Subpart
1000038,Methane,air,410,kg,2,C,Subpart
1000038,Methane,air,3311930,kg,5,II,Subpart
1000038,Nitrous Oxide,air,41,kg,2,C,Subpart
1000039,Carbon Dioxide,air,156900,kg,2,C,Subpart
1000039,PFC-14 (Perfluoromethane),air,17.826,kg,5,SS,Subpart
1000039,Sulfur Hexafluoride,air,1243.151,kg,5,SS,Subpart
1000040,Biogenic CO2,air,5367400,kg,5,C,Subpart
1000040,Carbon Dioxide,air,61305400,kg,4.705350589,C,Subpart
1000040,Methane,air,1500,kg,4.28,C,Subpart
1000040,Nitrous Oxide,air,184,kg,3.858695652,C,Subpart
1000041,Carbon Dioxide,air,43298700,kg,5,C,Subpart
1000041,Methane,air,820,kg,5,C,Subpart
1000041,Nitrous Oxide,air,82,kg,5,C,Subpart
1000043,Carbon Dioxide,air,1449348400,kg,5,P,Subpart
1000045,Carbon Dioxide,air,50476400,kg,2,C,Subpart
1000045,Methane,air,950,kg,2,C,Subpart
1000045,Methane,air,1413140,kg,5,II,Subpart
1000045,Nitrous Oxide,air,95,kg,2,C,Subpart
1000046,Methane,air,3552370,kg,5,HH,Subpart
1000047,Biogenic CO2,air,63842600,kg,5,C,Subpart
1000047,Carbon Dioxide,air,30773800,kg,4.604257518,C,Subpart
1000047,Methane,air,32110,kg,4.985051386,C,Subpart
1000047,Nitrous Oxide,air,4226,kg,4.976573592,C,Subpart
1000048,Carbon Dioxide,air,27337500,kg,2,C,Subpart
1000048,Methane,air,700,kg,2,C,Subpart
1000048,Nitrous Oxide,air,104,kg,2,C,Subpart
1000049,Carbon Dioxide,air,38800,kg,2,C,Subpart
1000049,Carbon Dioxide,air,24513500,kg,5,D,Subpart
1000049,Methane,air,450,kg,5,D,Subpart
1000049,Nitrous Oxide,air,45,kg,5,D,Subpart
1000050,Carbon Dioxide,air,642166500,kg,5,D,Subpart
1000050,Methane,air,6750,kg,5,D,Subpart
1000050,Nitrous Oxide,air,10799,kg,5,D,Subpart
1000051,Carbon Dioxide,air,50557500,kg,5,D,Subpart
1000051,Methane,air,940,kg,5,D,Subpart
1000051,Nitrous Oxide,air,94,kg,5,D,Subpart
1000052,Carbon Dioxide,air,2440155400,kg,5,D,Subpart
1000052,Methane,air,45260,kg,5,D,Subpart
1000052,Nitrous Oxide,air,4526,kg,5,D,Subpart
1000053,Carbon Dioxide,air,147805100,kg,2,C,Subpart
1000053,Methane,air,2790,kg,2,C,Subpart
1000053,Nitrous Oxide,air,281,kg,2,C,Subpart
1000054,Carbon Dioxide,air,5200,kg,5,W,Subpart
1000054,Methane,air,171750,kg,5,W,Subpart
1000056,Carbon Dioxide,air,44836000,kg,4.70305112,C,Subpart
1000056,Carbon Dioxide,air,92704900,kg,5,S,Subpart
1000056,Methane,air,940,kg,4.425531915,C,Subpart
1000056,Nitrous Oxide,air,112,kg,4.035714286,C,Subpart
1000059,Carbon Dioxide,air,1860668600,kg,5,D,Subpart
1000059,Methane,air,34510,kg,5,D,Subpart
1000059,Nitrous Oxide,air,3451,kg,5,D,Subpart
1000060,Carbon Dioxide,air,460400,kg,2.117289314,C,Subpart
1000060,Carbon Dioxide,air,79774500,kg,5,D,Subpart
1000060,Methane,air,10,kg,2,C,Subpart
1000060,Methane,air,1570,kg,5,D,Subpart
1000060,Nitrous Oxide,air,1,kg,2,C,Subpart
1000060,Nitrous Oxide,air,172,kg,5,D,Subpart
1000061,Carbon Dioxide,air,675600,kg,2,C,Subpart
1000061,Carbon Dioxide,air,85744900,kg,5,D,Subpart
1000061,Methane,air,20,kg,2,C,Subpart
1000061,Methane,air,1710,kg,5,D,Subpart
1000061,Nitrous Oxide,air,2,kg,2,C,Subpart
1000061,Nitrous Oxide,air,193,kg,5,D,Subpart
1000062,Carbon Dioxide,air,41597700,kg,2,C,Subpart
1000062,Methane,air,780,kg,2,C,Subpart
1000062,Nitrous Oxide,air,78,kg,2,C,Subpart
1000063,Carbon Dioxide,air,153901000,kg,2,C,Subpart
1000063,Methane,air,8480,kg,2,C,Subpart
1000063,Nitrous Oxide,air,1153,kg,2,C,Subpart
1000064,Carbon Dioxide,air,35587300,kg,2,C,Subpart
1000064,Carbon Dioxide,air,100,kg,5,W,Subpart
1000064,Methane,air,1960,kg,2,C,Subpart
1000064,Methane,air,1120,kg,5,W,Subpart
1000064,Nitrous Oxide,air,390,kg,2,C,Subpart
1000066,Carbon Dioxide,air,82426900,kg,5,C,Subpart
1000066,Methane,air,1550,kg,5,C,Subpart
1000066,Nitrous Oxide,air,155,kg,5,C,Subpart
1000068,Carbon Dioxide,air,1303300,kg,2,C,Subpart
1000068,Carbon Dioxide,air,1020077300,kg,5,D,Subpart
1000068,Methane,air,20,kg,2,C,Subpart
1000068,Methane,air,18920,kg,5,D,Subpart
1000068,Nitrous Oxide,air,2,kg,2,C,Subpart
1000068,Nitrous Oxide,air,1892,kg,5,D,Subpart
1000069,Carbon Dioxide,air,729500,kg,2,C,Subpart
1000069,Carbon Dioxide,air,62947600,kg,5,D,Subpart
1000069,Methane,air,14,kg,2,C,Subpart
1000069,Methane,air,1167,kg,5,D,Subpart
1000069,Nitrous Oxide,air,1,kg,2,C,Subpart
1000069,Nitrous Oxide,air,117,kg,5,D,Subpart
1000070,Carbon Dioxide,air,9800,kg,5,C,Subpart
1000070,Carbon Dioxide,air,1536252300,kg,5,D,Subpart
1000070,Methane,air,28490,kg,5,D,Subpart
1000070,Nitrous Oxide,air,2849,kg,5,D,Subpart
1000071,Carbon Dioxide,air,26350600,kg,2,C,Subpart
1000071,Carbon Dioxide,air,3099103700,kg,5,D,Subpart
1000071,Methane,air,500,kg,2,C,Subpart
1000071,Methane,air,57580,kg,5,D,Subpart
1000071,Nitrous Oxide,air,50,kg,2,C,Subpart
1000071,Nitrous Oxide,air,5777,kg,5,D,Subpart
1000072,Carbon Dioxide,air,22100100,kg,2,C,Subpart
1000072,Methane,air,420,kg,2,C,Subpart
1000072,Nitrous Oxide,air,42,kg,2,C,Subpart
1000074,Carbon Dioxide,air,4734900,kg,5,D,Subpart
1000074,Methane,air,260,kg,5,D,Subpart
1000074,Nitrous Oxide,air,53,kg,5,D,Subpart
1000076,Carbon Dioxide,air,30489200,kg,5,D,Subpart
1000076,Methane,air,570,kg,5,D,Subpart
1000076,Nitrous Oxide,air,57,kg,5,D,Subpart
1000077,Carbon Dioxide,air,75563900,kg,2,C,Subpart
1000077,Methane,air,1420,kg,2,C,Subpart
1000077,Nitrous Oxide,air,142,kg,2,C,Subpart
1000079,Biogenic CO2,air,4100,kg,5,C,Subpart
1000079,Carbon Dioxide,air,96654300,kg,2.120519211,C,Subpart
1000079,Methane,air,10300,kg,2,C,Subpart
1000079,Nitrous Oxide,air,1493,kg,2,C,Subpart
1000084,Carbon Dioxide,air,6105597800,kg,5,D,Subpart
1000084,Methane,air,719880,kg,5,D,Subpart
1000084,Methane,air,612720,kg,5,TT,Subpart
1000084,Nitrous Oxide,air,104742,kg,5,D,Subpart
1000085,Carbon Dioxide,air,117414400,kg,5,D,Subpart
1000085,Methane,air,2200,kg,5,D,Subpart
1000085,Nitrous Oxide,air,226,kg,5,D,Subpart
1000086,Carbon Dioxide,air,101070500,kg,2,C,Subpart
1000086,Carbon Dioxide,air,249720600,kg,5,EE,Subpart
1000086,Methane,air,1900,kg,2,C,Subpart
1000086,Nitrous Oxide,air,190,kg,2,C,Subpart
1000087,Carbon Dioxide,air,9273400,kg,2,C,Subpart
1000087,Carbon Dioxide,air,62959700,kg,5,D,Subpart
1000087,Methane,air,170,kg,2,C,Subpart
1000087,Methane,air,1180,kg,5,D,Subpart
1000087,Nitrous Oxide,air,17,kg,2,C,Subpart
1000087,Nitrous Oxide,air,120,kg,5,D,Subpart
1000088,Carbon Dioxide,air,124917900,kg,2,C,Subpart
1000088,Methane,air,2350,kg,2,C,Subpart
1000088,Nitrous Oxide,air,235,kg,2,C,Subpart
1000089,Carbon Dioxide,air,164776600,kg,2.000435135,C,Subpart
1000089,Methane,air,3100,kg,2,C,Subpart
1000089,Nitrous Oxide,air,310,kg,2,C,Subpart
1000090,Methane,air,4186240,kg,5,HH,Subpart
1000091,Carbon Dioxide,air,2500,kg,5,W,Subpart
1000091,Methane,air,80170,kg,5,W,Subpart
1000092,Biogenic CO2,air,440000,kg,5,C,Subpart
1000092,Carbon Dioxide,air,77610100,kg,5,C,Subpart
1000092,Methane,air,1572,kg,5,C,Subpart
1000092,Nitrous Oxide,air,174.1610738,kg,5,C,Subpart
1000093,Carbon Dioxide,air,115132300,kg,2,C,Subpart
1000093,Methane,air,2170,kg,2,C,Subpart
1000093,Methane,air,31630,kg,5,TT,Subpart
1000093,Nitrous Oxide,air,217,kg,2,C,Subpart
1000095,Carbon Dioxide,air,400,kg,2,C,Subpart
1000095,Carbon Dioxide,air,940353300,kg,5,D,Subpart
1000095,Methane,air,17440,kg,5,D,Subpart
1000095,Nitrous Oxide,air,1744,kg,5,D,Subpart
1000097,Carbon Dioxide,air,4068237200,kg,5,D,Subpart
1000097,Methane,air,75470,kg,5,D,Subpart
1000097,Nitrous Oxide,air,7547,kg,5,D,Subpart
1000098,Carbon Dioxide,air,906195800,kg,5,D,Subpart
1000098,Methane,air,16810,kg,5,D,Subpart
1000098,Nitrous Oxide,air,1681,kg,5,D,Subpart
1000099,Carbon Dioxide,air,1299485900,kg,3.185689048,C,Subpart
1000099,Carbon Dioxide,air,397980900,kg,5,Y,Subpart
1000099,Methane,air,77460,kg,3.204492641,C,Subpart
1000099,Methane,air,360270,kg,5,Y,Subpart
1000099,Nitrous Oxide,air,15474,kg,3.205893757,C,Subpart
1000099,Nitrous Oxide,air,2585,kg,5,Y,Subpart
1000100,Carbon Dioxide,air,855554700,kg,5,D,Subpart
1000100,Methane,air,15860,kg,5,D,Subpart
1000100,Nitrous Oxide,air,1586,kg,5,D,Subpart
1000101,Carbon Dioxide,air,693982700,kg,5,D,Subpart
1000101,Methane,air,12870,kg,5,D,Subpart
1000101,Nitrous Oxide,air,1287,kg,5,D,Subpart
1000102,Carbon Dioxide,air,1019313400,kg,5,D,Subpart
1000102,Methane,air,18910,kg,5,D,Subpart
1000102,Nitrous Oxide,air,1891,kg,5,D,Subpart
1000104,Carbon Dioxide,air,26115900,kg,2,C,Subpart
1000104,Methane,air,490,kg,2,C,Subpart
1000104,Nitrous Oxide,air,49,kg,2,C,Subpart
1000105,Carbon Dioxide,air,59417900,kg,5,C,Subpart
1000105,Carbon Dioxide,air,28135300,kg,5,N,Subpart
1000105,Methane,air,1120,kg,5,C,Subpart
1000105,Nitrous Oxide,air,112,kg,5,C,Subpart
1000106,Carbon Dioxide,air,5347900,kg,2,C,Subpart
1000106,Carbon Dioxide,air,2351188900,kg,5,D,Subpart
1000106,Methane,air,100,kg,2,C,Subpart
1000106,Methane,air,43610,kg,5,D,Subpart
1000106,Nitrous Oxide,air,10,kg,2,C,Subpart
1000106,Nitrous Oxide,air,4361,kg,5,D,Subpart
1000107,Carbon Dioxide,air,943794400,kg,5,D,Subpart
1000107,Methane,air,17500,kg,5,D,Subpart
1000107,Nitrous Oxide,air,1750,kg,5,D,Subpart
1000108,Carbon Dioxide,air,47500,kg,2,C,Subpart
1000108,Carbon Dioxide,air,20305000,kg,5,D,Subpart
1000108,Methane,air,380,kg,5,D,Subpart
1000108,Nitrous Oxide,air,38,kg,5,D,Subpart
1000109,Carbon Dioxide,air,464900,kg,2,C,Subpart
1000109,Carbon Dioxide,air,210303000,kg,5,D,Subpart
1000109,Methane,air,10,kg,2,C,Subpart
1000109,Methane,air,4000,kg,5,D,Subpart
1000109,Nitrous Oxide,air,3,kg,2,C,Subpart
1000109,Nitrous Oxide,air,419,kg,5,D,Subpart
1000110,Carbon Dioxide,air,1553700,kg,2,C,Subpart
1000110,Carbon Dioxide,air,1622071200,kg,5,D,Subpart
1000110,Methane,air,30,kg,2,C,Subpart
1000110,Methane,air,30070,kg,5,D,Subpart
1000110,Nitrous Oxide,air,3,kg,2,C,Subpart
1000110,Nitrous Oxide,air,3007,kg,5,D,Subpart
1000111,Carbon Dioxide,air,156700,kg,2,C,Subpart
1000111,Carbon Dioxide,air,51043700,kg,5,D,Subpart
1000111,Methane,air,950,kg,5,D,Subpart
1000111,Nitrous Oxide,air,95,kg,5,D,Subpart
1000112,Carbon Dioxide,air,163300,kg,2,C,Subpart
1000112,Carbon Dioxide,air,45871900,kg,5,D,Subpart
1000112,Methane,air,850,kg,5,D,Subpart
1000112,Nitrous Oxide,air,85,kg,5,D,Subpart
1000113,Carbon Dioxide,air,24900,kg,2,C,Subpart
1000113,Carbon Dioxide,air,33297400,kg,5,D,Subpart
1000113,Methane,air,620,kg,5,D,Subpart
1000113,Nitrous Oxide,air,62,kg,5,D,Subpart
1000114,Carbon Dioxide,air,111500,kg,2,C,Subpart
1000114,Carbon Dioxide,air,36000600,kg,5,D,Subpart
1000114,Methane,air,670,kg,5,D,Subpart
1000114,Nitrous Oxide,air,67,kg,5,D,Subpart
1000116,Carbon Dioxide,air,180600,kg,2,C,Subpart
1000116,Carbon Dioxide,air,41575200,kg,5,D,Subpart
1000116,Methane,air,770,kg,5,D,Subpart
1000116,Nitrous Oxide,air,77,kg,5,D,Subpart
1000117,Carbon Dioxide,air,140333800,kg,5,D,Subpart
1000117,Methane,air,2610,kg,5,D,Subpart
1000117,Nitrous Oxide,air,261,kg,5,D,Subpart
1000118,Carbon Dioxide,air,1100,kg,2,C,Subpart
1000118,Carbon Dioxide,air,61285900,kg,5,D,Subpart
1000118,Methane,air,1140,kg,5,D,Subpart
1000118,Nitrous Oxide,air,115,kg,5,D,Subpart
1000119,Carbon Dioxide,air,67285200,kg,5,D,Subpart
1000119,Methane,air,1250,kg,5,D,Subpart
1000119,Nitrous Oxide,air,125,kg,5,D,Subpart
1000120,Carbon Dioxide,air,407300,kg,5,C,Subpart
1000120,Carbon Dioxide,air,288168400,kg,5,D,Subpart
1000120,Methane,air,10,kg,5,C,Subpart
1000120,Methane,air,5340,kg,5,D,Subpart
1000120,Nitrous Oxide,air,1,kg,5,C,Subpart
1000120,Nitrous Oxide,air,534,kg,5,D,Subpart
1000121,Carbon Dioxide,air,14269900,kg,5,D,Subpart
1000121,Methane,air,330,kg,5,D,Subpart
1000121,Nitrous Oxide,air,40,kg,5,D,Subpart
1000122,Carbon Dioxide,air,6473100,kg,5,D,Subpart
1000122,Methane,air,110,kg,5,D,Subpart
1000122,Nitrous Oxide,air,11,kg,5,D,Subpart
1000123,Carbon Dioxide,air,53676900,kg,5,D,Subpart
1000123,Methane,air,1010,kg,5,D,Subpart
1000123,Nitrous Oxide,air,101,kg,5,D,Subpart
1000124,Carbon Dioxide,air,760499200,kg,2,C,Subpart
1000124,Carbon Dioxide,air,34614300,kg,5,Q,Subpart
1000124,Methane,air,13050,kg,2,C,Subpart
1000124,Nitrous Oxide,air,2655,kg,2,C,Subpart
1000125,Carbon Dioxide,air,1325374700,kg,5,D,Subpart
1000125,Methane,air,24583,kg,5,D,Subpart
1000125,Nitrous Oxide,air,2459,kg,5,D,Subpart
1000127,Carbon Dioxide,air,1516806700,kg,5,D,Subpart
1000127,Methane,air,28230,kg,5,D,Subpart
1000127,Nitrous Oxide,air,2845,kg,5,D,Subpart
1000128,Carbon Dioxide,air,18820600,kg,5,D,Subpart
1000128,Methane,air,350,kg,5,D,Subpart
1000128,Nitrous Oxide,air,35,kg,5,D,Subpart
1000129,Carbon Dioxide,air,96416800,kg,5,D,Subpart
1000129,Methane,air,1790,kg,5,D,Subpart
1000129,Nitrous Oxide,air,179,kg,5,D,Subpart
1000130,Carbon Dioxide,air,4685400,kg,5,D,Subpart
1000130,Methane,air,80,kg,5,D,Subpart
1000130,Nitrous Oxide,air,8,kg,5,D,Subpart
1000131,Carbon Dioxide,air,73692300,kg,5,D,Subpart
1000131,Methane,air,1410,kg,5,D,Subpart
1000131,Nitrous Oxide,air,150,kg,5,D,Subpart
1000132,Carbon Dioxide,air,29684800,kg,5,D,Subpart
1000132,Methane,air,584,kg,5,D,Subpart
1000132,Nitrous Oxide,air,66,kg,5,D,Subpart
1000133,Carbon Dioxide,air,1773489500,kg,5,D,Subpart
1000133,Methane,air,30170,kg,5,D,Subpart
1000133,Nitrous Oxide,air,3017,kg,5,D,Subpart
1000134,Carbon Dioxide,air,70690200,kg,2,C,Subpart
1000134,Methane,air,1330,kg,2,C,Subpart
1000134,Nitrous Oxide,air,133,kg,2,C,Subpart
1000135,Carbon Dioxide,air,469042100,kg,5,D,Subpart
1000135,Methane,air,8699,kg,5,D,Subpart
1000135,Nitrous Oxide,air,870,kg,5,D,Subpart
1000136,Carbon Dioxide,air,9267700,kg,2,C,Subpart
1000136,Carbon Dioxide,air,1930724600,kg,5,D,Subpart
1000136,Methane,air,170,kg,2,C,Subpart
1000136,Methane,air,35810,kg,5,D,Subpart
1000136,Nitrous Oxide,air,17,kg,2,C,Subpart
1000136,Nitrous Oxide,air,3581,kg,5,D,Subpart
1000138,Carbon Dioxide,air,7000,kg,2,C,Subpart
1000138,Carbon Dioxide,air,3178133600,kg,5,D,Subpart
1000138,Methane,air,58940,kg,5,D,Subpart
1000138,Nitrous Oxide,air,5894,kg,5,D,Subpart
1000140,Carbon Dioxide,air,59265700,kg,2,C,Subpart
1000140,Methane,air,1110,kg,2,C,Subpart
1000140,Nitrous Oxide,air,111,kg,2,C,Subpart
1000141,Carbon Dioxide,air,54400,kg,2,C,Subpart
1000141,Carbon Dioxide,air,148747800,kg,5,D,Subpart
1000141,Methane,air,2840,kg,5,D,Subpart
1000141,Nitrous Oxide,air,298,kg,5,D,Subpart
1000143,Carbon Dioxide,air,42710100,kg,2,C,Subpart
1000143,Methane,air,850,kg,2,C,Subpart
1000143,Nitrous Oxide,air,92,kg,2,C,Subpart
1000144,Carbon Dioxide,air,1657200,kg,2,C,Subpart
1000144,Carbon Dioxide,air,907801600,kg,5,D,Subpart
1000144,Methane,air,30,kg,2,C,Subpart
1000144,Methane,air,16840,kg,5,D,Subpart
1000144,Nitrous Oxide,air,3,kg,2,C,Subpart
1000144,Nitrous Oxide,air,1684,kg,5,D,Subpart
1000145,Carbon Dioxide,air,1125767800,kg,5,D,Subpart
1000145,Methane,air,20880,kg,5,D,Subpart
1000145,Nitrous Oxide,air,2088,kg,5,D,Subpart
1000146,Carbon Dioxide,air,1643310100,kg,5,D,Subpart
1000146,Methane,air,30480,kg,5,D,Subpart
1000146,Nitrous Oxide,air,3048,kg,5,D,Subpart
1000147,Carbon Dioxide,air,16374500,kg,5,D,Subpart
1000147,Methane,air,300,kg,5,D,Subpart
1000147,Nitrous Oxide,air,30,kg,5,D,Subpart
1000148,Carbon Dioxide,air,105531900,kg,5,D,Subpart
1000148,Methane,air,1958,kg,5,D,Subpart
1000148,Nitrous Oxide,air,196,kg,5,D,Subpart
1000149,Carbon Dioxide,air,11300,kg,2,C,Subpart
1000150,Carbon Dioxide,air,95600,kg,2,C,Subpart
1000150,Carbon Dioxide,air,2495209300,kg,5,D,Subpart
1000150,Methane,air,46280,kg,5,D,Subpart
1000150,Nitrous Oxide,air,4628,kg,5,D,Subpart
1000151,Carbon Dioxide,air,20337500,kg,5,D,Subpart
1000151,Methane,air,370,kg,5,D,Subpart
1000151,Nitrous Oxide,air,37,kg,5,D,Subpart
1000152,Carbon Dioxide,air,53381500,kg,5,D,Subpart
1000152,Methane,air,990,kg,5,D,Subpart
1000152,Nitrous Oxide,air,99,kg,5,D,Subpart
1000153,Carbon Dioxide,air,542100,kg,2,C,Subpart
1000153,Carbon Dioxide,air,3733433500,kg,5,D,Subpart
1000153,Methane,air,10,kg,2,C,Subpart
1000153,Methane,air,69250,kg,5,D,Subpart
1000153,Nitrous Oxide,air,1,kg,2,C,Subpart
1000153,Nitrous Oxide,air,6925,kg,5,D,Subpart
1000156,Carbon Dioxide,air,4509757200,kg,3.567208541,C,Subpart
1000156,Carbon Dioxide,air,938006200,kg,5,Q,Subpart
1000156,Carbon Dioxide,air,167451900,kg,5,S,Subpart
1000156,Methane,air,10110,kg,2.24925816,C,Subpart
1000156,Methane,air,40,kg,5,Q,Subpart
1000156,Nitrous Oxide,air,1942,kg,2.54376931,C,Subpart
1000156,Nitrous Oxide,air,188,kg,5,Q,Subpart
1000157,Carbon Dioxide,air,1187400,kg,2,C,Subpart
1000157,Carbon Dioxide,air,685566100,kg,5,D,Subpart
1000157,Methane,air,20,kg,2,C,Subpart
1000157,Methane,air,79440,kg,5,D,Subpart
1000157,Nitrous Oxide,air,2,kg,2,C,Subpart
1000157,Nitrous Oxide,air,11555,kg,5,D,Subpart
1000158,Carbon Dioxide,air,494162900,kg,4.51654242,C,Subpart
1000158,Carbon Dioxide,air,51796300,kg,5,P,Subpart
1000158,Methane,air,20144,kg,4.776608419,C,Subpart
1000158,Methane,air,65770,kg,5,P,Subpart
1000158,Nitrous Oxide,air,2660.892617,kg,4.830883818,C,Subpart
1000159,Carbon Dioxide,air,147212300,kg,2,C,Subpart
1000159,Carbon Dioxide,air,37331500,kg,5,Q,Subpart
1000159,Methane,air,2780,kg,2,C,Subpart
1000159,Methane,air,1733730,kg,5,TT,Subpart
1000159,Nitrous Oxide,air,278,kg,2,C,Subpart
1000161,Carbon Dioxide,air,6530700,kg,2,C,Subpart
1000161,Carbon Dioxide,air,164312400,kg,5,D,Subpart
1000161,Methane,air,120,kg,2,C,Subpart
1000161,Methane,air,3050,kg,5,D,Subpart
1000161,Nitrous Oxide,air,12,kg,2,C,Subpart
1000161,Nitrous Oxide,air,305,kg,5,D,Subpart
1000162,Carbon Dioxide,air,19685200,kg,5,D,Subpart
1000162,Methane,air,360,kg,5,D,Subpart
1000162,Nitrous Oxide,air,36,kg,5,D,Subpart
